"";"nombre";"comuna";"calle";"clase";"lon";"lat"
"155";"Tenencia Pedro Aguirre Cerda";"Pedro Aguirre Cerda";"Avenida Club Hípico";"Tenencia";-71,5425863;-70,7353505
"156";"51 Comisaría Pedro Aguirre Cerda";"Pedro Aguirre Cerda";"Centroamérica";"Comisaría";-71,5425863;-70,7353505
"157";"Tenencia Carlos Valdovinos";"Pedro Aguirre Cerda";"Belén";"Tenencia";-71,5425863;-70,7353505
"158";"46 Comisaría Macul";"Macul";"Avenida Escuela Agrícola";"Comisaría";-71,5425863;-70,7353505
"159";"Tenencia Batuco";"Lampa";"Las Mercedes";"Tenencia";-71,5425863;-70,7353505
"160";"Tenencia Reñaca Alto";"Viña del Mar";"Nueve";"Tenencia";-71,5425863;-70,7353505
"161";"Tenencia Codegua";"Codegua";"O'Higgins";"Tenencia";-71,5425863;-70,7353505
"162";"25 Comisaría Maipú";"Maipu";"Bailén";"Comisaría";-71,5425863;-70,7353505
"163";"45 Comisaría Cerro Navia";"Cerro Navia";"Los Conquistadores";"Comisaría";-71,5425863;-70,7353505
"164";"Tenencia Carretera Lampa";"Lampa";"Ruta 5 Norte";"Tenencia";-71,5425863;-70,7353505
"165";"20 Comisaría Puente Alto";"Puente Alto";"Balmaceda";"Comisaría";-71,5425863;-70,7353505
"166";"21 Comisaría Estación Central";"Estación Central";"Avenida Ecuador";"Comisaría";-71,5425863;-70,7353505
"167";"Tenencia Bollenar";"Bollenar";"Avenida Valparaíso";"Tenencia";-71,5425863;-70,7353505
"168";"Tenencia San Pedro";"Santiago";"San Pedro";"Tenencia";-71,5425863;-70,7353505
"169";"Subcomisaría Calera de Tango";"Calera de Tango";"Avenida Calera de Tango";"Subcomisaría";-71,5425863;-70,7353505
"170";"Subcomisaria Las Cañas";"Valparaíso";"Los Alerces";"Subcomisaría";-71,5425863;-70,7353505
"171";"Tenencia San Luis";"Peñalolen";"Principal";"Tenencia";-71,5425863;-70,7353505
"172";"5 Comisaría Viña del Mar";"Viña del Mar";"El Lúcumo";"Comisaría";-71,5425863;-70,7353505
"173";"62 Comisaría San Gerónimo";"Puente Alto";"Real Audiencia";"Comisaría";-71,5425863;-70,7353505
"174";"Tenencia María Pinto";"María Pinto";"Dieciocho de Septiembre - Francisco Costabal";"Tenencia";-71,5425863;-70,7353505
"175";"3 Comisaría Rancagua Oriente";"Rancagua";"Avenida Bombero Domingo Villalobos";"Comisaría";-71,5425863;-70,7353505
